u,g,r,i,z,redshift,class
22.15897,20.76554,20.66686,20.52393,20.08388,-0.0006255399,2
26.44692,21.89963,19.76572,19.10525,18.66872,0.3758881,0
20.84887,20.27891,20.21787,20.28791,19.87705,2.335541,1
24.10556,21.54979,20.4519,19.59073,19.20694,5.893176e-05,2
23.20872,23.66559,21.79273,20.12383,19.35745,0.6776466,0
27.16486,20.21205,18.55799,17.90797,17.5325,0.2954488,0
25.56209,21.49968,19.54955,18.92353,18.57487,0.3573802,0
20.50751,19.46084,18.76047,18.3034,18.43876,0.1431009,0
19.05938,17.57685,17.09509,16.75525,16.62675,0.08200276,0
22.73596,22.51808,22.18846,21.7672,23.99034,1.545372,1
21.4281,19.2064,17.75415,17.19814,16.80699,0.2285923,0
20.11526,18.25729,17.20468,16.77188,16.38529,0.1326597,0
24.21667,22.25502,20.6385,19.69814,19.10034,0.5655412,0
22.91037,22.69157,22.11891,21.78776,21.09787,0.884706,0
21.06539,21.08206,20.54379,20.67609,20.59335,1.306505,1
22.29008,20.41182,18.75838,18.18537,17.806,0.3018337,0
22.39199,21.47337,21.07907,20.81239,20.54153,0.7098857,1
17.70671,16.48556,16.03044,15.872,15.81889,-0.0005101803,2
21.10217,20.71082,20.44927,20.40355,20.20131,1.040037,1
21.29851,21.04818,20.68341,20.54244,20.42633,1.919415,1
22.76363,22.30827,22.18311,21.76735,21.58376,1.567106,1
20.96592,20.97726,20.94626,20.64334,20.41272,1.863758,1
24.54726,23.38116,22.05099,18.91644,17.35966,-6.400385e-05,2
20.25485,18.3574,17.99783,17.98551,17.71192,-0.0002688238,2
25.81813,22.51831,20.83332,19.78042,19.26912,0.5370854,0
23.86698,21.60108,19.80958,18.84918,18.48682,0.4963034,0
25.145,20.85361,20.0186,19.64,19.73476,-0.0002714926,2
23.71107,22.39379,20.74644,19.66773,18.87466,0.6291372,0
25.00198,23.11789,22.43975,21.29501,21.33819,1.830383,1
22.80719,22.08643,21.60446,21.5464,21.42094,-7.934187e-05,2
22.56665,21.55973,21.42649,21.27302,21.04043,2.201496,1
26.41319,22.15509,20.67092,19.7605,19.31909,7.031627e-05,2
21.67397,20.94035,20.71315,20.3842,19.87807,2.386626,1
23.28498,21.05354,19.59221,18.60595,17.94323,0.0001421649,2
20.43288,19.45664,19.07316,18.94541,18.95437,-8.691949e-05,2
24.42985,18.11649,17.26259,17.71632,17.22848,0.05680115,0
19.79645,18.17392,17.33331,16.88921,16.59179,0.09072599,0
23.78646,21.50192,19.63928,18.98367,18.56687,0.3372244,0
22.6121,23.11847,22.56821,20.88755,19.98649,0.8074447,0
25.4663,22.31317,20.80744,18.99136,17.89926,-7.10002e-05,2
19.38691,17.96079,17.32889,17.07317,16.95964,-0.0001603926,2
23.37152,21.30158,19.90008,19.32057,19.011,0.2346958,0
24.58678,24.46593,22.82553,21.62336,22.53122,1.396341,1
22.97042,20.86156,19.52112,18.68268,18.18987,0.5430654,0
25.13461,23.40632,22.7102,21.40669,19.82787,1.163464,1
24.24,21.92323,20.11684,19.29541,18.89802,0.4677621,0
25.10174,23.06618,22.557,21.52077,20.81181,1.017365,0
24.83632,23.67016,21.63371,20.54181,19.88766,0.5712382,0
22.56936,21.05738,21.07297,21.04822,21.10635,-0.0003634203,2
24.83085,21.43642,19.39903,18.68086,18.27179,0.4168783,0
21.7886,19.63243,18.14623,17.57222,17.14286,0.2560004,0
19.27775,17.70083,17.09348,16.69103,16.4317,0.06656864,0
22.54692,21.53392,21.47066,20.97943,20.6388,0.672209,1
22.4175,20.73872,20.26263,20.10572,19.97922,-0.0002843429,2
22.10328,21.92555,21.69067,21.98162,21.30083,2.355197,1
22.7568,20.93009,20.79676,20.93128,20.34678,3.147765,1
21.01361,20.71811,20.46232,20.40409,20.78672,1.134558,1
19.53551,17.68273,16.71167,16.23287,15.93196,1.519867e-05,0
24.51002,21.00125,19.1723,18.54622,18.1614,0.3393387,0
19.60991,19.32998,19.19413,18.93983,18.843,1.680253,1
22.11725,21.55086,19.95307,18.89934,18.51672,0.5195997,0
22.83766,20.71425,18.98909,18.35986,18.01609,0.3293384,0
24.82749,20.34323,19.12561,18.58234,18.31209,-2.317323e-05,2
22.95447,21.0774,20.55662,20.34415,20.21814,2.863746,1
22.47388,21.70719,21.61994,21.39762,21.43673,-0.0005449813,2
21.13853,19.90134,19.27378,19.05746,18.99904,-0.0008264504,2
23.69933,23.44093,20.99336,19.77139,19.5698,0.5879827,0
19.17406,18.21252,17.6546,17.42968,17.15128,0.02291247,0
17.81819,17.41451,17.4757,17.40724,17.54673,0.6282029,1
19.75693,17.87804,16.96701,16.56668,16.23124,0.08796614,0
22.79601,23.32781,22.41917,21.64272,22.47878,0.8801352,0
24.96328,22.8239,20.94845,19.64035,19.00968,0.6373383,0
22.77464,21.74609,21.85504,21.92592,20.92474,2.227015,1
23.50841,21.80207,21.60566,21.85112,21.41851,2.641982,1
26.06626,22.89339,21.13788,19.96379,19.64704,0.6195701,0
24.80751,21.31117,19.42198,18.74799,18.27614,0.424661,0
18.83314,17.17159,16.50847,16.25446,16.11178,-0.0003521187,2
25.5777,23.31997,21.40303,20.36905,19.65965,-0.0001758737,2
20.67826,20.18382,20.03542,19.85044,19.61178,0.6620342,1
23.68057,20.68017,19.89845,19.48429,19.34368,-0.0008350843,2
19.89547,19.62021,19.29997,19.22959,19.13173,0.9905631,1
20.47094,18.60859,17.88211,17.59633,17.43945,6.939128e-05,2
21.27081,21.31896,20.96941,20.95894,20.84171,1.430203,1
17.48383,16.34096,15.82576,15.59164,15.48071,-0.0006000673,2
21.14313,19.97246,19.35656,19.10595,18.85393,-0.0003409578,2
21.50137,20.00717,18.37879,17.81149,17.42349,0.2970767,0
18.77781,18.60556,18.48884,18.22985,18.22707,1.63683,1
22.30284,21.06746,19.41835,18.63383,18.12162,0.466994,0
17.56954,15.64554,14.89235,14.63359,14.5082,-6.108134e-05,2
19.90628,17.97893,17.11652,16.71767,16.42693,0.08014397,0
20.05213,20.06299,20.0988,19.7839,19.73375,2.110469,1
19.42096,19.25484,18.99208,19.02769,18.88778,0.9409542,1
24.14066,21.65608,19.44619,18.61998,18.28227,0.4113897,0
19.22952,18.09769,17.77046,17.59021,17.48909,0.01360298,0
20.51873,20.20638,20.21569,19.80753,19.63807,0.4654321,1
21.88256,21.55099,21.3771,21.31117,21.31675,1.283247,1
22.59135,20.5454,19.10692,18.17493,17.64589,0.0002418318,2
23.56445,21.01187,19.47783,18.56565,18.08596,0.0002537247,2
26.03595,22.92491,22.02455,20.67198,20.66685,0.7664615,0
26.51218,22.49687,21.92923,22.11838,22.08313,0.8705207,1
22.96862,21.69707,20.67831,19.64295,18.98649,-0.0002140445,2
23.05693,21.73839,21.62845,21.56287,20.94722,-0.0003421121,2
22.13902,21.45761,21.61663,21.56292,21.11227,2.09265,1
22.51727,22.18239,20.25807,19.31052,18.74452,0.5219579,0
24.56808,23.55933,22.95602,21.57531,22.82357,0.7245792,0
20.81306,18.90036,17.59827,17.08834,16.74113,0.2000235,0
18.26101,16.19948,15.37064,15.04637,14.92297,-0.0001151185,2
24.27135,24.2255,22.49268,21.07232,19.87512,-0.0002290259,2
24.27044,21.69652,20.77456,20.10801,19.78918,3.430894,1
19.63504,17.73838,16.77139,16.33075,15.99251,0.07638396,0
22.41986,21.53756,21.08427,21.7834,20.84217,0.3310528,0
21.42885,21.02341,20.52487,20.59163,20.52107,1.055445,1
22.00369,21.79999,21.74243,21.71099,21.27906,0.6892806,0
22.33831,22.04607,22.25981,22.09889,21.21136,2.082755,1
21.13731,20.02798,19.70991,19.6315,19.78254,-0.0003922264,2
22.58106,22.04026,20.83457,19.7384,18.9702,-0.0001980562,2
24.17703,22.43166,20.74827,19.92678,19.56549,0.5174491,0
20.36806,19.401,19.06583,18.91326,18.83243,-0.0003679161,2
20.02674,19.54689,19.12787,19.04249,18.90334,0.9857762,1
22.18258,20.35624,19.56327,19.20953,19.07584,-5.664595e-05,2
24.7552,19.83793,18.97273,18.68323,18.64264,-0.000628342,2
21.75958,21.36788,20.68954,20.53941,19.9923,0.3030107,0
21.23156,19.05378,18.03956,17.67012,17.45609,5.706418e-05,2
19.8078,18.7437,18.24179,18.00876,17.89351,-9.648257e-05,2
20.12043,19.48734,19.36383,19.31556,19.0461,2.39761,1
26.06642,21.75875,20.11151,19.33575,18.73141,0.3219176,0
24.52977,22.36972,20.45921,19.62884,19.28774,0.5050672,0
20.7768,20.13627,19.81709,19.5514,19.44897,1.45803,1
21.12344,21.22907,21.12411,20.8729,20.84572,1.569578,1
22.27257,21.61404,21.32984,21.32461,21.04798,2.292691,1
19.96465,18.67083,17.52877,17.11241,16.73508,0.2922533,1
21.83772,21.67904,21.63948,21.6811,20.95164,2.27502,1
19.81457,18.29216,17.30181,16.79302,16.46893,0.165353,0
22.36334,21.6466,21.53089,21.46142,20.81839,2.286136,1
18.49019,17.23142,17.01336,16.94974,16.96012,-0.0002114776,2
24.37503,22.65736,22.1962,21.90067,21.55554,0.8085318,1
20.50992,18.85438,18.24816,17.99767,17.85274,-5.438548e-05,2
25.7596,20.51943,20.29031,19.39918,20.00588,0.8742242,0
21.07027,20.30078,20.03976,19.96021,19.73953,2.68521,1
24.31151,22.41238,20.56911,19.63707,19.14466,0.4952438,0
21.35319,20.71644,20.41322,20.43999,20.25038,0.0003804625,2
21.01768,21.01003,20.88296,20.63683,20.49519,1.726023,1
21.06145,20.3176,20.04783,19.90143,19.91403,-0.0004662299,2
21.19274,21.22865,21.00375,20.95184,21.30767,1.297471,1
21.60686,21.49624,21.45761,21.23923,21.28811,1.440303,1
20.71997,19.00217,17.70787,17.0995,16.70292,0.2130378,0
22.114,21.2802,20.63103,20.20052,19.97175,1.695189,1
19.58314,19.23843,18.8997,18.72596,18.46987,2.109657,1
23.5941,24.74442,22.85914,22.30709,22.28958,0.7601635,0
20.22107,19.49033,18.86874,18.65119,18.46111,0.1424108,0
22.75552,22.12564,20.37753,19.37603,18.86058,0.4798102,0
19.66683,17.4443,16.52038,16.16879,15.95986,-0.0001884816,2
27.24852,22.01629,20.72158,19.85362,19.29826,0.4521807,0
23.34303,22.73775,22.19749,21.83072,21.46028,0.0,0
23.94217,22.66932,20.74722,19.60163,19.13544,0.565562,0
20.11101,18.36709,17.33378,16.85323,16.50491,0.1348035,0
18.40382,16.86565,15.87002,15.44294,15.16938,0.0,0
19.42303,19.08759,18.8076,18.66245,18.43612,0.3979035,1
23.13129,20.28085,19.68565,19.34912,19.2284,-0.0001212981,2
18.0367,17.00706,16.58839,16.40925,16.2794,-0.0008064987,2
19.38389,18.0979,17.30361,16.90455,16.69195,0.09397458,0
26.84833,20.78175,19.10993,18.37626,17.89914,0.3067582,0
21.5686,21.56959,21.04366,21.11622,20.98896,1.145465,1
22.53341,22.04878,21.99654,21.90789,21.26198,1.952753,1
20.22885,18.44836,17.36108,16.84735,16.51489,0.1695982,0
19.94372,19.74812,19.43031,19.19898,19.08165,1.490518,1
22.72127,20.59146,20.13864,20.1251,20.10103,-0.0002885459,2
24.1864,21.68507,19.87083,19.07428,18.59396,0.33156,0
27.03757,23.83266,21.75584,20.37154,19.7482,0.7697998,1
21.96587,22.20772,21.63653,21.68265,21.12664,1.139634,1
20.79183,20.82639,20.94047,20.67573,20.87904,1.931715,1
23.86601,20.87372,19.32022,18.15784,17.55449,-0.0001371376,2
21.1789,21.17961,20.8462,20.76621,20.69561,1.294885,1
24.56543,23.03734,21.72902,20.45586,19.5068,-0.0002186752,2
20.39833,18.53676,17.62152,17.22825,16.90145,0.1174453,0
23.34257,22.00999,21.39169,21.25998,20.7899,-0.0001436769,2
19.03519,17.47085,16.86022,16.63442,16.49818,-0.0001376987,2
21.64224,21.20132,21.04301,21.0755,20.71535,2.311605,1
20.90764,20.93948,20.69397,20.69178,20.73838,1.408888,1
21.33127,21.22881,20.89163,20.69721,20.83441,1.362699,1
22.68789,22.00504,20.62841,19.79869,19.49194,0.6425288,0
22.53424,21.76865,21.77098,21.59392,22.15125,0.0004469056,2
21.78383,20.37756,19.9413,19.82012,19.80792,-0.0003157972,2
18.73422,17.16567,16.59164,16.39303,16.30259,8.049629e-05,2
25.65464,22.00716,21.6265,21.23352,21.03616,-0.0006237435,2
21.10303,18.93561,17.49757,16.12978,15.35591,4.452289e-05,2
18.88322,17.75448,17.29257,17.08128,16.98397,-0.000491386,2
17.6526,16.13642,15.50014,15.21836,15.08972,-0.0007891667,2
22.50606,25.24246,22.33912,20.55424,19.72569,0.8906856,0
24.9051,22.03647,20.82506,19.51676,18.85278,1.016189e-05,2
19.93753,19.57091,19.37324,19.08497,19.02983,1.504334,1
24.17059,21.71096,21.54629,21.40479,21.0257,4.39407e-05,2
23.02586,20.51286,18.73727,18.04639,17.59884,0.3390315,0
23.20728,21.59484,21.31533,21.57566,21.58218,2.643308,1
19.67672,17.53747,16.64016,16.31118,16.11637,0.0001930386,2
21.26512,20.91888,20.892,20.82502,20.6909,2.151091,1
24.64779,22.46405,20.89819,19.79454,19.15236,-4.538822e-05,2
18.11034,16.65678,15.88098,15.45752,15.16152,0.09509417,0
22.72312,21.89826,19.87943,19.03492,18.54777,0.4432446,0
21.18879,20.37081,20.18481,20.15358,19.83708,2.552134,1
22.6362,22.05075,21.68786,21.68552,21.69305,1.0104,1
21.2357,21.02977,20.83388,20.6012,20.43778,1.585743,1
21.50669,21.54224,21.48119,21.22079,21.24031,1.892515,1
23.49809,20.98696,19.5255,18.07903,17.25588,-0.0001427561,2
15.69896,14.59311,14.32788,14.24421,14.23739,-0.0001854748,2
24.58674,20.97292,19.50634,18.92499,18.61842,0.2940972,0
21.66093,20.86412,20.51144,20.29763,20.04826,-0.0002729135,2
22.13137,21.65583,21.56478,21.22825,20.97674,0.8910412,1
25.43827,21.08403,19.28861,18.69727,18.40499,0.3819129,0
17.68997,15.94149,15.08143,14.62367,14.29829,0.0535435,0
20.53238,19.55679,19.28634,19.17673,19.2288,0.0002681186,2
20.8865,18.87983,18.16419,17.88714,17.72318,5.629369e-05,2
22.03009,22.8144,20.85818,19.79866,19.47318,0.4798294,0
22.65039,22.68802,21.8908,21.35569,22.19069,0.7487408,0
21.46245,20.54387,20.64488,19.21279,18.43258,0.0001641646,2
24.87718,23.058,22.22028,21.1415,19.95624,1.018138,1
20.32755,20.20231,20.06267,19.97901,20.07419,1.453503,1
22.54504,21.74643,21.39597,21.14469,21.1471,-0.0004325012,2
21.29604,20.57502,20.43169,20.3771,20.42183,2.548944,1
21.91576,21.65977,21.3102,21.01866,20.77148,1.455494,1
21.65558,20.54378,20.30998,20.211,20.06029,2.853039,1
24.12964,22.90864,21.66159,21.1833,20.68521,0.0005149764,2
24.52744,21.98547,20.47437,19.60489,19.19802,0.4065835,0
23.60974,21.48542,19.716,18.87967,18.57688,0.4420359,0
20.27449,18.39041,17.51821,17.07432,16.85168,0.07091396,0
21.92019,21.62306,21.3284,21.11678,21.03497,1.26861,1
23.24093,23.4135,22.98413,22.44777,22.01844,0.9841374,0
20.82405,19.21899,18.62873,18.43655,18.44691,0.0001489477,2
